text,output,timestamp
"Мильоны – вас. Нас – тьмы, и тьмы, и тьмы. Попробуйте, сразитесь с нами! Да, скифы – мы! Да, азиаты – мы, С раскосыми и жадными очами! Для вас – века, для нас – единый час. Мы, как послушные холопы, Держали щит меж двух враждебных рас Монголов и Европы",,2024-11-13 16:35:59.738959
"Мильоны – вас. Нас – тьмы, и тьмы, и тьмы. Попробуйте, сразитесь с нами! Да, скифы – мы! Да, азиаты – мы, С раскосыми и жадными очами! Для вас – века, для нас – единый час. Мы, как послушные холопы, Держали щит меж двух враждебных рас Монголов и Европы","{""type"": ""matplotlib"", ""plot"": ""data:image/webp;base64,UklGRlgCAABXRUJQVlA4IEwCAADQQwCdASqAAuABPm02mUmkIyKhIAgAgA2JaW7hd2EbQAnsA99snIe+2TkPfbJyHvtk5D32ych77ZOQ99snIe+2TkPfbJyHvtk5D32ych77ZOQ99snIe+2TkPfbJyHvtk5D32ych77ZOQ99snIe+2TkPfbJyHvtk5D32ych77ZOQ99snIe+2TkPfbJyHvtk5D32ych77ZOQ99snIe+2TkPfbJyHvtk5D32ych77ZOQ99snIe+2TkPfbJyHvtk5D32ych77ZOQ99snIe+2TkPfbJyHvtk5D32ych77ZOQ99snIe+2TkPfbJyHvtk5D32ych77ZOQ99snIe+2TkPfbJyHvtk5D32ych77ZOQ99snIe+2TkPfbJyHvtk5D32ych77ZOQ99snIe+2TkPfbJyHvtk5D32ych77ZOQ99snIe+2TkPfbJyHvtk5D32ych77ZOQ99snIe+2TkPfbJyHvtk5D32ych77ZOQ99snIe+2TkPfbJyHvtk5D32ych77ZOQ99snIe+2TkPfbJyHvtk5D32ych77ZOQ99snIe+2TkPfbJyHvtk5D32ych77ZOQ99snIe+2TkPfbJyHvtk5D32ych77ZOQ99snIe+2TkPfbJyHvtk5D32ych77ZOQ99snIe+2TkPfbJyHvtk5D32ych77ZOQ99snIe+2TkPfbJyHvtk5D32ych77ZOQ99snIe+2TkPfbJyHvtk5D32ych77ZOQ99smIAAD+/+jQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=""}",2024-11-13 16:38:45.219771
